"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4","Reabs_Ca","Reabs_PO4","Ca_pf","Ca_fp","PO4_pf","PO4_fp","PO4_pc","PO4_cp"
"31",30,1287.89792386038,0.068810831114544,564.273161710212,16.7813571136935,1.20605894125319,1.83627083372725,250.018530040741,1.47827922886378,0.792171417718318,90.0030048838639,2.77189635717574,0.105969848521341,0.00373694994049303,0.0108809935482781,0.0864751602137974,0.00304948387986185,1.45176383800666,0.913739513905764,2.49131057126996,2.83550653477966,0,0,3.90635016462963e-05,0.000396997516656744,0.000982992225280753,0.000823375136116717,0.000392285402228531,0.000117685620668559,0.00100994895854999,0.000217847139872537,0.00259246797778375,0.00460645356580602,0.00530665934151403,0.00429687375092176,0.199567695896611,0.199349937268815,0.00277177355411959,0.00277189635717574
"32",31,1287.89223312963,0.0688106350770841,564.273390672452,16.7813658093756,1.20605888851507,1.83627068592575,250.019147704293,1.47827909119737,0.792171344594482,90.003105045384,2.77189623430509,0.105969834018882,0.00373694942907334,0.0108809920540685,0.0864751452710567,0.00304948335291697,1.45176378220348,0.913739428812858,2.49131044622059,2.83550629551225,0,0,3.90635180498733e-05,0.000396997954741214,0.000982992422982525,0.000823375228976641,0.00039228533063686,0.000117685599191058,0.00100994887725916,0.000217847119763483,0.00259246782587619,0.00460645265217515,0.00530665910946633,0.00429687340506626,0.199567677311645,0.199349918867201,0.00277177329599506,0.00277189623430509
"33",32,1287.88674381135,0.0688104460309032,564.27361885393,16.7813745428399,1.20605883761715,1.83627053833078,250.019765367833,1.47827895322518,0.792171271314098,90.0032052069045,2.77189611129897,0.105969819656198,0.00373694892258278,0.0108809905745773,0.086475130320954,0.00304948282571248,1.45176372834748,0.913739343530949,2.49131032511799,2.83550605590948,0,0,3.90635338372037e-05,0.000396998396259099,0.000982992620010073,0.000823375321519883,0.000392285264726866,0.00011768557941806,0.00100994879608193,0.000217847099611377,0.00259246767855466,0.00460645173441071,0.00530665888551547,0.00429687305969402,0.199567658685399,0.199349900426193,0.0027717730372972,0.00277189611129897
"34",33,1287.8814480927,0.068810263772302,564.273846276446,16.7813833129818,1.20605878845522,1.83627039094946,250.020383031354,1.47827881494421,0.792171197875234,90.0033053684238,2.77189598815694,0.105969805423917,0.00373694842069087,0.0108809891087892,0.0864751153636136,0.00304948229825275,1.45176367632837,0.913739258058186,2.49131020773699,2.8355058159558,0,0,3.90635490227076e-05,0.000396998841103756,0.000982992816382221,0.000823375413755286,0.000392285204332647,0.000117685561299794,0.0010099487150222,0.000217847079415689,0.00259246753557694,0.00460645081259026,0.00530665866920296,0.00429687271482173,0.199567640017469,0.199349881945303,0.0027717727780204,0.00277189598815694
"35",34,1287.87633845366,0.0688100880849799,564.274072961133,16.7813921187271,1.20605874093882,1.83627024378847,250.021000694853,1.47827867635166,0.792171124276054,90.0034055299402,2.77189586487855,0.10596979131389,0.00373694792311018,0.0108809876558263,0.0864751003991503,0.00304948177054184,1.45176362605045,0.913739172392828,2.49131009388209,2.83550557563732,0,0,3.90635636231032e-05,0.000396999289168534,0.00098299301211722,0.000823375505691422,0.000392285149277178,0.000117685544783153,0.00100994863408366,0.000217847059175915,0.00259246739672853,0.00460644988679445,0.0053066584601308,0.00429687237046501,0.199567621307474,0.199349863424069,0.00277177251815937,0.00277189586487855
"36",35,1287.87140766168,0.0688099187453938,564.274298928432,16.781400959032,1.20605869498851,1.83627009685412,250.021618358322,1.4782785374448,0.792171050514807,90.0035056914521,2.77189574146335,0.10596977731894,0.00373694742958767,0.0108809862149205,0.0864750854276696,0.00304948124258347,1.45176357742965,0.913739086533194,2.4913099833816,2.83550533494144,0,0,3.9063577656643e-05,0.000396999740347596,0.000982993207232717,0.000823375597336579,0.000392285099376903,0.000117685529813071,0.00100994855326976,0.000217847038891572,0.00259246726181743,0.00460644895710545,0.00530665825794943,0.00429687202663863,0.199567602555048,0.199349844862051,0.002771772257709,0.00277189574146335
"37",36,1287.86664876233,0.0688097555275816,564.274524198065,16.7814098328817,1.20605865053326,1.83626995015238,250.022236021759,1.47827839822104,0.79217097658982,90.0036058529579,2.77189561791088,0.10596976343264,0.00373694693989667,0.0108809847853876,0.0864750704492706,0.00304948071438112,1.4517635303908,0.91373900047768,2.49130987608198,2.83550509385664,0,0,3.90635911424229e-05,0.000397000194536674,0.000982993401745744,0.000823375688698759,0.000392285054445879,0.000117685516333764,0.00100994847258381,0.000217847018562201,0.00259246713066916,0.00460644802360584,0.00530665806234633,0.00429687168335658,0.19956758375984,0.199349826258828,0.00277177199666445,0.00277189561791088
"38",37,1287.86205503395,0.0688095982061088,564.274748789137,16.781418739286,1.20605860750784,1.83626980368895,250.022853685157,1.4782782586779,0.792170902499494,90.0037060144561,2.7718954942207,0.105969749649082,0.0037369464538288,0.010880983366601,0.0864750554640464,0.0030494801859381,1.45176348486489,0.913738914224758,2.49130977184224,2.83550485237217,0,0,3.90636040998865e-05,0.000397000651633249,0.000982993595672797,0.000823375779785708,0.000392285014298351,0.000117685504289505,0.00100994839202893,0.000217846998187361,0.00259246700312161,0.00460644708637789,0.00530665787303449,0.00429687134063215,0.199567564921517,0.199349807613998,0.00277177173502106,0.0027718954942207
"39",38,1287.85762003959,0.0688094465581343,564.274972719974,16.7814276772847,1.20605856585317,1.83626965746921,250.023471348513,1.47827811881308,0.792170828242314,90.0038061759452,2.77189537039233,0.105969735962908,0.00373694597119517,0.0108809819579946,0.0864750404720851,0.00304947965725748,1.45176344078941,0.913738827773002,2.49130967053468,2.83550461047818,0,0,3.90636165486297e-05,0.000397001111537278,0.000982993789029703,0.00082337587060486,0.000392284978750461,0.000117685493625138,0.00100994831160806,0.000217846977766636,0.00259246687902593,0.0046064461455031,0.00530665768975397,0.00429687099847795,0.199567546039766,0.199349788927178,0.00277177147277453,0.00277189537039233
"40",39,1287.85333763793,0.0688093003654909,564.275196008084,16.7814366459486,1.2060585255156,1.83626951149821,250.024089011822,1.47827797862439,0.792170753816852,90.0039063374239,2.77189524642531,0.105969722369247,0.00373694549182394,0.0108809805590569,0.0864750254734694,0.00304947912834221,1.45176339810756,0.913738741121056,2.49130957204329,2.83550436816557,0,0,3.90636285081279e-05,0.000397001574151593,0.000982993981831577,0.000823375961163316,0.000392284947622019,0.000117685484286606,0.00100994823132402,0.000217846957299634,0.00259246675824521,0.00460644520106143,0.00530665751226863,0.00429687065690582,0.199567527114292,0.199349770198011,0.00277177120992073,0.00277189524642531
"41",40,1287.8492019115,0.0688091594162286,564.275418670326,16.7814456443727,1.20605848644425,1.83626936578081,250.024706675079,1.47827783810967,0.792170679221729,90.0040064988908,2.77189512231916,0.105969708863474,0.00373694501555209,0.0108809791693026,0.0864750104682767,0.00304947859919501,1.45176335676554,0.913738654267592,2.49130947625812,2.83550412542559,0,0,3.906363999739e-05,0.000397002039381643,0.000982994174092977,0.000823376051467913,0.000392284920737905,0.000117685476221371,0.00100994815117945,0.000217846936785975,0.00259246664064917,0.00460644425313093,0.00530665734035471,0.0042968703159271,0.199567508144805,0.199349751426148,0.00277177094645563,0.00277189512231916
